k_val,mets,ln_met,exp_met
0.146,x_pg180_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2agpg160_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pg160_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_cdpdodecg_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pgp180_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_3pg_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_stcoa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2agpg140_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pg140_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_apg140_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_apg160_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_apg180_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_occoa_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_octa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pg161_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_cpg160_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pe180_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2agpe140_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_progly_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ser__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ggbutal_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2tpr3dpcoa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2ombzl_c,1.0000000000000004e-06,9.999999999999976e-07
